time,port_target_error_x_mm,port_target_error_y_mm,port_target_error_z_mm,plug_tip_error_x_mm,plug_tip_error_y_mm,plug_tip_error_z_mm,port_marker_camera_count,plug_marker_camera_count
1.033999999999999986e+01,3.469563704217026867e-02,6.276531122980100186e-01,-3.339797094810137423e-01,2.633381897287900841e-02,-9.927482288685229861e-02,6.911248663655777946e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.034999999999999964e+01,6.698493369084734805e-01,-8.173329434425502527e-01,-6.618036590083642423e-01,-4.885272653933625531e-01,-6.445491196923613941e-01,1.760932207000021066e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.035999999999999943e+01,-9.970925521725348961e-02,-5.951648493093264491e-01,6.562415736461879590e-01,6.803953260633432976e-01,-1.267533890984329226e+00,-5.408923962731959634e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.037000000000000099e+01,-7.492306149168848073e-01,-1.106747834314081302e-01,-8.650399680684150994e-01,7.055323536436786114e-02,-8.730070887023599902e-01,-3.737578039597622137e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.038000000000000078e+01,4.594750151298149232e-01,7.513348460511659610e-01,-3.657136801239468937e-01,-5.468337483512109021e-01,4.771004675924173100e-01,2.001425078863583451e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.039000000000000057e+01,-5.391679261879944729e-01,-4.425110782792507358e-01,4.166857361589393349e-01,-3.486599930223599486e-01,-6.640065690602936499e-01,1.141786381029685771e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.040000000000000036e+01,-2.199095034403075744e-01,4.462593030502004510e-01,2.279853009051757695e-01,7.848375616312242009e-02,2.042677809901416452e+00,2.486168026416546439e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.041000000000000014e+01,-5.916206996847001021e-01,-1.850205132764570770e-01,7.576518878352755948e-01,-1.382282389157413194e+00,7.698320524307522561e-02,5.776842105731372357e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.041999999999999993e+01,-1.354733519271997366e+00,4.491090056433222344e-01,-8.334691216722589502e-01,4.938658850286992141e-02,4.758779924643463666e-01,-7.603117728186559177e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.042999999999999972e+01,-6.714230839394152994e-01,2.233133537624110154e-01,-4.295742301418936648e-01,-2.455067666665144976e-01,2.430805158574189662e-01,4.611026623323466467e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.043999999999999950e+01,-3.498727324222766777e-01,-7.194826653639241343e-02,-6.803310215295343966e-01,-2.552895105376318252e-01,3.647241995825556415e-01,-1.419286117314122464e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.045000000000000107e+01,7.149247225937682693e-02,-3.343475675194884644e-01,-4.890210595679400640e-01,-4.098012663491523710e-01,-4.127257629233938019e-01,-3.294913735041316016e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.046000000000000085e+01,2.313790700742696105e-01,-7.480735799402227215e-01,-9.923665343691823182e-02,-1.750199408405983537e-01,6.573325680549468863e-01,1.286610902972995518e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.047000000000000064e+01,-1.026783318866977712e+00,1.275695269113086283e+00,-1.437710758210863915e-01,-4.543864815650389133e-01,4.485933161135768898e-01,-5.799826887331605008e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.048000000000000043e+01,-3.591117156900719420e-01,-2.116934132010805936e+00,-2.357726023193285059e-01,-1.020414821426562924e-01,8.408618317223282013e-01,6.379890536477583751e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.049000000000000021e+01,8.815646277815503140e-02,-4.107302914648780501e-01,1.921818808080510976e-01,-2.584655328558838061e-01,4.192697185181337716e-01,1.619420757970058133e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.050000000000000000e+01,8.240613542484370724e-01,-7.609736948021028624e-01,-7.141084103117201209e-01,-4.499796332045058467e-01,4.888383076904201374e-01,3.224495513405312153e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.050999999999999979e+01,2.161086689080882195e-01,9.005089395386356443e-02,-9.674581846231822269e-01,2.640896471844678128e-01,1.271118399226833784e+00,1.276986443254579662e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.051999999999999957e+01,-1.781901945304975587e-01,1.556820981736484200e+00,4.485786158032745163e-01,-1.802173277749008484e-01,-5.327173393258055611e-01,-5.425744666001097727e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.052999999999999936e+01,-4.629063705334918177e-01,-4.650911784379041514e-01,3.399888071274892454e-01,-6.054005391832595340e-01,-4.659698061281192238e-01,1.747359376241708340e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.054000000000000092e+01,-1.350258553719646537e-01,-1.926592037733709795e-01,2.648481981969430521e-01,-5.709843262121372387e-01,5.421041603305698509e-01,1.979656431954079920e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.055000000000000071e+01,8.337370014611933389e-02,4.585968406856655299e-01,3.858481538652203113e-01,-6.031119003648832688e-01,-2.675987973962956623e-01,3.854612455541639449e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.056000000000000050e+01,-6.159155044257319522e-01,6.900316426600161535e-01,3.056922716720977817e-01,6.176332922835925388e-02,-6.892842611426197585e-01,5.185991449569993250e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.057000000000000028e+01,3.319030368770653494e-01,6.435071953991844396e-01,3.226165251247747889e-01,-1.031477646618039756e-01,6.027184024157694608e-01,-3.124773530869262572e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.058000000000000007e+01,1.324335280430966044e-02,4.886188702835081443e-01,9.634340528497098433e-02,2.289179290382303833e-02,1.158381613388992371e+00,-3.519216751801668153e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.058999999999999986e+01,2.110891231321687656e-02,2.863607687958458214e-02,-6.576263987477792838e-01,-1.763875633193356940e-01,-1.309546559985663716e+00,5.344074601871806607e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.059999999999999964e+01,1.535799468535548051e-01,4.755988565798840995e-01,2.367154309166341619e-01,9.521674664768053908e-01,-6.030983043556759071e-01,-4.730864640885013017e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.060999999999999943e+01,2.179526560990852069e-01,3.248726568028104111e-01,-5.029980394344324424e-01,-1.286286798250962926e+00,1.514890496156606758e+00,3.792233081006957107e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.062000000000000099e+01,9.174462804008853833e-01,7.637887933737985691e-01,-1.847462172727132312e-01,6.561737655866872743e-01,6.377312161315318306e-02,4.098649583694768950e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.063000000000000078e+01,-5.115694254952396491e-01,1.805432352031011156e+00,-2.911837522463489591e-01,-5.746364343283960618e-01,1.296102337690452355e+00,4.916979146933897482e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.064000000000000057e+01,1.460372250912805869e-01,-2.685542678835806107e-01,-2.989355259703785350e-01,-1.723634066158885592e-01,3.765909382413834550e-02,-4.920661996354880330e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.065000000000000036e+01,6.611640383097916462e-01,-1.540714199275650120e+00,1.270002103116896208e+00,-1.266372711103053161e+00,8.493528965257124419e-01,1.778623633106435342e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.066000000000000014e+01,-8.922973385817878356e-02,1.167816860732084905e-01,-8.067852122672913850e-02,5.827722962817027952e-01,7.505480228586214331e-01,-1.139502727387498027e-02,3.000000000000000000e+00,3.000000000000000000e+00
