time,x_error_mm,y_error_mm,z_error_mm
4.028999999999999915e+01,5.263225858509615307e+01,9.246780416454353713e+01,1.967454476485885806e+01
4.030000000000000426e+01,5.226894546740162895e+01,9.340282610378797301e+01,2.035995218520736216e+01
4.031000000000000227e+01,5.194556464043864707e+01,9.423041361324996501e+01,2.097462745586697963e+01
4.032000000000000028e+01,5.166311995889272168e+01,9.494729860746930683e+01,2.151394052103483645e+01
4.032999999999999829e+01,1.934390921262685303e-04,1.900000208071052157e+02,4.807677088793349185e+01
4.034000000000000341e+01,1.432581136495691965e-04,1.900003024537275564e+02,4.304737621547927517e+01
4.035000000000000142e+01,1.512601516852341010e-03,1.900001082839152389e+02,3.719779267118439492e+01
4.035999999999999943e+01,5.150178265224403251e-03,1.899991534547476135e+02,3.204783745800676797e+01
4.036999999999999744e+01,9.997692245106160058e-03,1.899985755500325126e+02,2.787587973620997417e+01
4.038000000000000256e+01,1.618181343323449317e-02,1.899984743923982649e+02,2.468537616861543427e+01
4.039000000000000057e+01,2.432689634224854958e-02,1.899972275635080052e+02,2.241746095966268371e+01
4.039999999999999858e+01,3.151577396982158108e-02,1.899957457030824060e+02,2.084504198810743958e+01
4.041000000000000369e+01,3.569120893798932714e-02,1.899945942248139090e+02,1.976716261520294893e+01
4.042000000000000171e+01,3.610256656506188877e-02,1.899938139357115858e+02,1.903982302757567524e+01
4.042999999999999972e+01,3.272527210915199269e-02,1.899935166781912983e+02,1.856081007027254870e+01
4.043999999999999773e+01,2.584273840502970820e-02,1.899935840114200687e+02,1.825838889763808837e+01
4.045000000000000284e+01,1.586507551368937508e-02,1.899939246754861415e+02,1.808338519949104040e+01
4.046000000000000085e+01,4.304913860733727837e-03,1.899945691405951038e+02,1.799572395576820583e+01
4.046999999999999886e+01,5.582470796100524879e-03,1.899953907756930391e+02,1.795153371549840315e+01
4.048000000000000398e+01,1.256762196084199035e-02,1.899964540545787770e+02,1.792538465724980057e+01
4.049000000000000199e+01,1.688489569726808748e-02,1.899977460870303503e+02,1.790636990245553051e+01
4.050000000000000000e+01,1.918305711545720271e-02,1.899991733717587579e+02,1.789035906045943847e+01
4.050999999999999801e+01,2.008389615530681294e-02,1.900006121849386886e+02,1.787587457388972823e+01
4.052000000000000313e+01,2.006773022586449962e-02,1.900019616157758833e+02,1.786240609410683078e+01
4.053000000000000114e+01,1.951758994672703196e-02,1.900031625397937773e+02,1.785006837603664209e+01
4.053999999999999915e+01,1.871398775123850333e-02,1.900041879480447449e+02,1.783912104349083450e+01
4.055000000000000426e+01,1.784512376053204452e-02,1.900050352431152874e+02,1.782975025887500919e+01
4.056000000000000227e+01,1.702576869160032924e-02,1.900057138899762208e+02,1.782200913733866798e+01
4.057000000000000028e+01,1.631612944899551998e-02,1.900062411858523035e+02,1.781582878732046282e+01
4.057999999999999829e+01,1.573896017357384602e-02,1.900066387689212206e+02,1.781105429860085820e+01
4.059000000000000341e+01,1.529347553732435250e-02,1.900069295892135131e+02,1.780748360226414206e+01
4.060000000000000142e+01,1.496576347202044355e-02,1.900071356979383665e+02,1.780489978606336621e+01
4.060999999999999943e+01,1.473603485215718711e-02,1.900072768651324111e+02,1.780309406259927840e+01
4.061999999999999744e+01,1.458329611891268085e-02,1.900073698894374559e+02,1.780187979070202431e+01
4.063000000000000256e+01,1.448807426462916936e-02,1.900074284194042207e+02,1.780109926595640957e+01
4.064000000000000057e+01,1.443376503838106339e-02,1.900074631123597158e+02,1.780062531150461425e+01
4.064999999999999858e+01,1.440707394292223276e-02,1.900074819863143318e+02,1.780035952857483750e+01
4.066000000000000369e+01,1.439790928181583496e-02,1.900074908566087402e+02,1.780022869883490699e+01
4.067000000000000171e+01,1.439898507516607085e-02,1.900074937834350521e+02,1.780018042545161805e+01
4.067999999999999972e+01,1.440530711659809837e-02,1.900074934850716204e+02,1.780017873460582223e+01
4.068999999999999773e+01,1.441364989364368743e-02,1.900074916934497651e+02,1.780020006556315337e+01
4.070000000000000284e+01,1.442208435360053942e-02,1.900074894438812407e+02,1.780022986059726264e+01
4.071000000000000085e+01,1.442958382714271126e-02,1.900074873004730023e+02,1.780025981842781135e+01
4.071999999999999886e+01,1.443571460260639761e-02,1.900074855242208685e+02,1.780028578320158772e+01
4.073000000000000398e+01,1.444040557962295024e-02,1.900074841932290042e+02,1.780030619136363512e+01
4.074000000000000199e+01,1.444378546247571116e-02,1.900074832849682025e+02,1.780032097823225357e+01
4.075000000000000000e+01,1.444607395494068580e-02,1.900074827297888476e+02,1.780033084428289669e+01
4.075999999999999801e+01,1.444751379727632346e-02,1.900074824435925507e+02,1.780033679010828251e+01
4.077000000000000313e+01,1.444833211747265089e-02,1.900074823460692244e+02,1.780033984314244222e+01
4.078000000000000114e+01,1.444872170034555703e-02,1.900074823694210977e+02,1.780034091480120395e+01
4.078999999999999915e+01,1.444883495101828563e-02,1.900074824612007944e+02,1.780034074148950651e+01
4.080000000000000426e+01,1.444878528779336424e-02,1.900074825838070751e+02,1.780033987576479149e+01
4.081000000000000227e+01,1.444865232815006895e-02,1.900074827123357011e+02,1.780033870441199895e+01
4.082000000000000028e+01,1.444848850569446785e-02,1.900074828318528830e+02,1.780033747825393675e+01
4.082999999999999829e+01,1.444832569877374517e-02,1.900074829347088041e+02,1.780033634445343793e+01
4.084000000000000341e+01,1.444818111331208632e-02,1.900074830182057042e+02,1.780033537621128659e+01
4.085000000000000142e+01,1.444806210020715964e-02,1.900074830827380765e+02,1.780033459752050717e+01
4.085999999999999943e+01,1.444796985725776972e-02,1.900074831304103782e+02,1.780033400233704910e+01
4.086999999999999744e+01,1.444790211455743156e-02,1.900074831640765751e+02,1.780033356850174897e+01
4.088000000000000256e+01,1.444785497189959855e-02,1.900074831867211174e+02,1.780033326720808873e+01
4.089000000000000057e+01,1.444782407303973892e-02,1.900074832010992907e+02,1.780033306896511291e+01
4.089999999999999858e+01,1.444780529181316497e-02,1.900074832095587283e+02,1.780033294697314261e+01
4.091000000000000369e+01,1.444779507801807750e-02,1.900074832139820842e+02,1.780033287870563896e+01
4.092000000000000171e+01,1.444779058119849413e-02,1.900074832158047400e+02,1.780033284632986934e+01
4.092999999999999972e+01,1.444778964080489780e-02,1.900074832160690903e+02,1.780033283644366549e+01
4.093999999999999773e+01,1.444779070514101704e-02,1.900074832154963076e+02,1.780033283946447398e+01
4.095000000000000284e+01,1.444779272075785714e-02,1.900074832145578512e+02,1.780033284889104195e+01
4.096000000000000085e+01,1.444779501808685085e-02,1.900074832135416614e+02,1.780033286057625119e+01
4.096999999999999886e+01,1.444779720760624997e-02,1.900074832126067292e+02,1.780033287208060244e+01
4.098000000000000398e+01,1.444779909307025711e-02,1.900074832118268091e+02,1.780033288214200127e+01
4.099000000000000199e+01,1.444780060362582663e-02,1.900074832112217393e+02,1.780033289026261656e+01
4.100000000000000000e+01,1.444780174344323376e-02,1.900074832107815439e+02,1.780033289640492455e+01
4.100999999999999801e+01,1.444780255634853239e-02,1.900074832104812117e+02,1.780033290077820496e+01
4.102000000000000313e+01,1.444780310255050493e-02,1.900074832102913831e+02,1.780033290369842547e+01
4.103000000000000114e+01,1.444780344420082407e-02,1.900074832101831248e+02,1.780033290550175806e+01
4.103999999999999915e+01,1.444780363765718612e-02,1.900074832101316247e+02,1.780033290649662803e+01
4.105000000000000426e+01,1.444780372972243043e-02,1.900074832101170728e+02,1.780033290694083092e+01
4.106000000000000227e+01,1.444780375688820007e-02,1.900074832101240645e+02,1.780033290703597615e+01
4.107000000000000028e+01,1.444780374603577000e-02,1.900074832101424818e+02,1.780033290693017278e+01
4.107999999999999829e+01,1.444780371590015378e-02,1.900074832101649065e+02,1.780033290672633584e+01
4.109000000000000341e+01,1.444780367867992688e-02,1.900074832101874449e+02,1.780033290649096855e+01
4.110000000000000142e+01,1.444780364175807241e-02,1.900074832102075391e+02,1.780033290626414910e+01
4.110999999999999943e+01,1.444780360909669881e-02,1.900074832102239952e+02,1.780033290606641927e+01
4.111999999999999744e+01,1.444780358233338502e-02,1.900074832102368703e+02,1.780033290590587924e+01
4.113000000000000256e+01,1.444780356167629787e-02,1.900074832102464200e+02,1.780033290578264626e+01
4.114000000000000057e+01,1.444780354660502031e-02,1.900074832102529570e+02,1.780033290569316051e+01
4.114999999999999858e+01,1.444780353621749613e-02,1.900074832102573907e+02,1.780033290563176607e+01
4.116000000000000369e+01,1.444780352945901347e-02,1.900074832102601761e+02,1.780033290559190817e+01
4.117000000000000171e+01,1.444780352542751611e-02,1.900074832102617393e+02,1.780033290556804104e+01
4.117999999999999972e+01,1.444780352332503126e-02,1.900074832102623930e+02,1.780033290555560654e+01
4.118999999999999773e+01,1.444780352247848620e-02,1.900074832102625066e+02,1.780033290555038761e+01
4.120000000000000284e+01,1.444780352238134169e-02,1.900074832102625066e+02,1.780033290554960956e+01
4.121000000000000085e+01,1.444780352271440860e-02,1.900074832102625066e+02,1.780033290555149605e+01
