time,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
8.589999999999999858e+00,-7.699101651696798818e-03,-7.900092584734291204e-04,-7.954256925100707670e-04,-8.099607343490570176e-04,7.453574257008632178e-04,-2.700009566959091100e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999645e+00,-7.718315726886537838e-03,-8.150281452267126850e-04,-8.047278722184360213e-04,-8.103353979342178305e-04,7.457667476905110960e-04,-1.666280345452994818e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.609999999999999432e+00,-7.732096800384928408e-03,-8.331963300504322120e-04,-8.116559995579372818e-04,-8.106400967363633359e-04,7.460854271816089438e-04,-1.534322686018748445e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.620000000000000995e+00,-7.740584580218052430e-03,-8.445868437483008626e-04,-8.161261343456942090e-04,-8.108613630420060314e-04,7.463063165638745807e-04,-2.032734827841545727e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000782e+00,-7.744455664643939627e-03,-8.499259107050165718e-04,-8.184733675995017367e-04,-8.110123483742246028e-04,7.464393588501242035e-04,-3.083522545360962865e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.640000000000000568e+00,-7.745262216768179081e-03,-8.509090785157045252e-04,-8.193083229992515143e-04,-8.110905100652757030e-04,7.464923974931210677e-04,-4.240759996012688669e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.650000000000000355e+00,-7.743839397445590085e-03,-8.485931371472052931e-04,-8.190891207372123870e-04,-8.111160271025750308e-04,7.464835639235946037e-04,-5.530393238989658610e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.660000000000000142e+00,-7.740706872615348878e-03,-8.438265470914423473e-04,-8.181509663959875582e-04,-8.110999397885911531e-04,7.464267512763015982e-04,-6.871272819369895894e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.669999999999999929e+00,-7.736493836925296096e-03,-8.375467958486357929e-04,-8.167236983235724637e-04,-8.110401739035324846e-04,7.463321225513266672e-04,-7.985577756810876527e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.679999999999999716e+00,-7.731798708364896050e-03,-8.305928703278419190e-04,-8.148772954307026721e-04,-8.109320594564982040e-04,7.462085049576102800e-04,-8.630526415762484656e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.689999999999999503e+00,-7.727165316686037885e-03,-8.235737506116594950e-04,-8.128416601397334780e-04,-8.108010650435541929e-04,7.460743940481765748e-04,-9.007268420114324024e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.700000000000001066e+00,-7.722918579333046436e-03,-8.169861204656590553e-04,-8.108299208611120801e-04,-8.106648574544938037e-04,7.459415067754691020e-04,-9.232911824468395298e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.710000000000000853e+00,-7.719223423577994611e-03,-8.111501991148650694e-04,-8.089998194876915974e-04,-8.105353431661007106e-04,7.458170364521072475e-04,-9.389634391218397796e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,-7.698161684771847972e-03,-7.758313586185576396e-04,-8.022384007937045794e-04,-8.116700224666242771e-04,7.463729718967980964e-04,-2.905198585375872985e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.730000000000000426e+00,-7.665823306827358220e-03,-7.275158096660156327e-04,-7.861330465839615721e-04,-8.114812868232374344e-04,7.459344642539347380e-04,-3.814289307671554420e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.740000000000000213e+00,-7.639980278193067749e-03,-6.910780595969405818e-04,-7.710789169880756608e-04,-8.108049094526027832e-04,7.453104651304413289e-04,-3.842627854648813992e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e+00,-7.627988419657993728e-03,-6.750550672595065924e-04,-7.629287090646567730e-04,-8.102992514287491333e-04,7.449844550114791998e-04,-3.481137423105663044e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.759999999999999787e+00,-7.630555622548218508e-03,-6.792519719280746627e-04,-7.622921563564668624e-04,-8.100866679717585355e-04,7.450481961667038654e-04,-2.845731067141272349e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.769999999999999574e+00,-7.645268978789282466e-03,-6.998239675901885525e-04,-7.670642553709624677e-04,-8.100795353601962859e-04,7.454069730836485963e-04,-1.980589443108335058e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.779999999999999361e+00,-7.667743385900492419e-03,-7.304174380407786951e-04,-7.757867152740779114e-04,-8.103400210829936378e-04,7.459697833422325236e-04,-1.208939576485128031e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.790000000000000924e+00,-7.693377386106837849e-03,-7.649110734549226546e-04,-7.868932492808196084e-04,-8.108232313866718796e-04,7.466882304154815256e-04,-6.481562864118549499e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000711e+00,-7.718308773090164047e-03,-7.984827413053967229e-04,-7.984193184955619286e-04,-8.113874474343524832e-04,7.474406085662244721e-04,-2.614536326086224564e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.810000000000000497e+00,-7.739799645186763721e-03,-8.277065973877727060e-04,-8.088809101185353255e-04,-8.119288754426674240e-04,7.481217101537211223e-04,-2.089299122680473420e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.820000000000000284e+00,-7.756266045575951375e-03,-8.505639638249710413e-04,-8.173341022394708683e-04,-8.123818233950315599e-04,7.486675234907344371e-04,1.001591026087399110e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.830000000000000071e+00,-7.767108544374026757e-03,-8.662441857367874504e-04,-8.233231580743162687e-04,-8.127109880324283504e-04,7.490460317325394043e-04,1.281638785686835108e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
