time,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z
9.080000000000000071e+00,2.821133055098192788e-01,4.032408075716106821e-01,9.653174090732697943e-01,-1.354769572765578411e-01,3.426407482650482006e-01,9.766387107370088083e-01
9.089999999999999858e+00,2.821121868614437367e-01,4.032414464240537399e-01,9.653180580377267450e-01,-1.354966399291776258e-01,3.426130393430270593e-01,9.766121555796075659e-01
9.099999999999999645e+00,2.821097542542329029e-01,4.032428593900482250e-01,9.653195192992696239e-01,-1.354981963180336424e-01,3.425927140864319931e-01,9.765982951574190274e-01
9.109999999999999432e+00,2.821064978653700095e-01,4.032447641332631560e-01,9.653215000648568411e-01,-1.354884242473442524e-01,3.425778554401007203e-01,9.765928975451730887e-01
9.120000000000000995e+00,2.821028257060269606e-01,4.032468969080902910e-01,9.653237415264394050e-01,-1.354723256232657491e-01,3.425670128625163957e-01,9.765928519443562994e-01
9.130000000000000782e+00,2.820990759253330649e-01,4.032490070461477449e-01,9.653259947952255171e-01,-1.354534409781663062e-01,3.425591241413127319e-01,9.765959290720749308e-01
9.140000000000000568e+00,2.820955305701995930e-01,4.032509404658261576e-01,9.653280898867357962e-01,-1.354341408867258123e-01,3.425534018767377731e-01,9.766005858571827902e-01
9.150000000000000355e+00,2.820923767998617659e-01,4.032526223445497271e-01,9.653299318511383564e-01,-1.354159164221978850e-01,3.425492552980156091e-01,9.766057832753767265e-01
9.160000000000000142e+00,2.820742766177377625e-01,4.032625027488991876e-01,9.653400490606479645e-01,-1.356952561019990622e-01,3.422364103389364254e-01,9.762548277154032839e-01
9.169999999999999929e+00,2.820481538696257284e-01,4.032773870770742786e-01,9.653557925145465068e-01,-1.363602509729601175e-01,3.416549858231202608e-01,9.755638044162312505e-01
9.179999999999999716e+00,2.820279601308565698e-01,4.032890379504241452e-01,9.653682802326777335e-01,-1.372049388807660419e-01,3.410387305960880244e-01,9.747423477710573936e-01
9.189999999999999503e+00,2.820189247039946445e-01,4.032942256886610233e-01,9.653739354162446107e-01,-1.380675763269292866e-01,3.404970993843249860e-01,9.739094491290870570e-01
9.200000000000001066e+00,2.820210596265773639e-01,4.032927217550056342e-01,9.653725504513994693e-01,-1.388353618596288308e-01,3.400735050638413193e-01,9.731290737140123603e-01
9.210000000000000853e+00,2.820329598905992885e-01,4.032855311620933692e-01,9.653652045666842874e-01,-1.394033660974181854e-01,3.397965556589654379e-01,9.724588870028318954e-01
9.220000000000000639e+00,2.820557109968365173e-01,4.032737619150321695e-01,9.653524306221298312e-01,-1.395924451864823113e-01,3.397567226354675785e-01,9.720708318099259282e-01
9.230000000000000426e+00,2.820842174056120699e-01,4.032578500574530156e-01,9.653355563946682816e-01,-1.395865671003745367e-01,3.398909792054317092e-01,9.718769183379786236e-01
9.240000000000000213e+00,2.821168665265652575e-01,4.032360848800455311e-01,9.653139048183505544e-01,-1.395272049486114829e-01,3.401386497887521898e-01,9.717669957732141262e-01
9.250000000000000000e+00,2.821542704761393350e-01,4.032071543787576484e-01,9.652864537252467958e-01,-1.394646361884392949e-01,3.404601698844991753e-01,9.716807710306822887e-01
9.259999999999999787e+00,2.821968740738623471e-01,4.031711041596728884e-01,9.652530892285393627e-01,-1.394081712474994073e-01,3.408293009343388302e-01,9.715891121689401722e-01
9.269999999999999574e+00,2.822443237676587890e-01,4.031290721928593168e-01,9.652146202252845919e-01,-1.393536427584518567e-01,3.412293678440741496e-01,9.714801250351143835e-01
9.279999999999999361e+00,2.822956076763368238e-01,4.030827454544390065e-01,9.651723910830681818e-01,-1.392943161007071939e-01,3.416502504114119487e-01,9.713515740422216105e-01
9.290000000000000924e+00,2.823493650701145441e-01,4.030339172676148385e-01,9.651279090824822493e-01,-1.392245364866844526e-01,3.420858076880995968e-01,9.712065612218635513e-01
9.300000000000000711e+00,2.824041235482517842e-01,4.029842447499024094e-01,9.650826190749022260e-01,-1.391407251025245928e-01,3.425313808078382927e-01,9.710505010353812638e-01
9.310000000000000497e+00,2.824584387313677225e-01,4.029351616124665636e-01,9.650378089369355816e-01,-1.390413509155163096e-01,3.429822587468283057e-01,9.708891704431774627e-01
9.320000000000000284e+00,2.825109758760448453e-01,4.028878561482205911e-01,9.649945756804435559e-01,-1.389257576776551928e-01,3.434333822189445384e-01,9.707281320413013725e-01
9.330000000000000071e+00,2.825603944098173392e-01,4.028432046414783252e-01,9.649537967602898059e-01,-1.387884513877893911e-01,3.438790493189859965e-01,9.705733729072503202e-01
9.339999999999999858e+00,2.826054071833696835e-01,4.028022977117611259e-01,9.649164760552449982e-01,-1.386339414543912019e-01,3.443116983893227956e-01,9.704283216423266190e-01
